"Timestamp","Σε ποια χώρα έχεις μεταναστεύσει;","Πόσα χρόνια ζεις εκτός Ελλάδος;","Την ποιότητα ζωής;","Τις σχέσεις με το Κράτος (γραφειοκρατία , Μέσα Μαζικής Μεταφοράς, κλπ.);","Την δυνατότητα ανέλιξης στην νέα σου χώρα;","Την δυνατότητα ένταξης στην κοινωνία;","Την ποιότητα ζωής;","Τις σχέσεις με το Κράτος (γραφειοκρατία , Μέσα Μαζικής Μεταφοράς, κλπ.);","Την δυνατότητα ανέλιξης στην νέα σου χώρα;","Την δυνατότητα ένταξης στην κοινωνία;","Για ποιους λόγους θέλεις να γυρίσεις;","Τι είναι αυτό που σε κάνει να θες να μείνεις στο εξωτερικό ;"
6/16/2019 9:47:01,"United Arab Emirates",3,8,9,8,5,7,9,9,4,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση, Για τον κοινωνικό μου κύκλο που άφησα πίσω, Καλύτερος συνδυασμός κόστους/ποιότητας ζωής, Νιώθω αποξενωμένος στο Εξωτερικό.","Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
6/19/2019 17:35:41,"United Kingdom",11,4,8,8,4,8,9,8,10,,"Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
6/20/2019 21:46:08,"United States",2,9,9,10,9,7,7,8,6,"Θα γυρούσα αμέσως αν θα μπορούσα να δουλέψω από απόσταση., Καλύτερος συνδυασμός κόστους/ποιότητας ζωής., Νιώθω αποξενωμένος στο Εξωτερικό.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα., i want to travel and live in many different places "
7/11/2019 10:33:15,"United Arab Emirates",6,9,8,7,8,10,9,8,8,"Καλύτερος συνδυασμός κόστους/ποιότητας ζωής.","Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου."
7/11/2019 10:33:23,"United Arab Emirates",11,7,8,10,8,8,8,10,9,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/11/2019 15:11:13,"United Arab Emirates",9,9,9,6,8,9,9,6,9,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 12:22:10,"United Kingdom",2,7,7,7,6,6,6,6,6,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον."
7/12/2019 13:01:26,"United Kingdom",2,8,8,10,10,10,7,9,8,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα."
7/12/2019 13:08:36,"United Kingdom",3,3,10,10,10,6,10,9,9,"Ποιότητα ζωής ","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται."
7/12/2019 13:11:33,"United Kingdom",5,8,10,8,7,8,9,8,8,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου., Η ποιότητα ζωής μου σε συνδυασμό με το κόστος ζωής., Παρότι Έλληνας, νιώθω αποξενωμένος στην Ελλάδα, λόγω της κατάστασης στην χώρα., Πέρα από τους προφανείς οικονομικούς λόγους, αυτό που με αποτρέπει να γυρίσω στην Ελλάδα είναι η φθορά της καθημερινότητας. Με αυτό αναφέρομαι κυρίως σε γραφειοκρατικά θέματα (πήγαινε από εδώ εκεί, πάρε το τάδε χαρτί, πάρε αριθμό πρωτοκόλλησης, πήγαινε παραπέρα να το σφραγίζει ο Δερβέναγας και γύρνα στην επόμενη πανσέληνο), αλλά και σε θέματα νοοτροπίας (για να μη μπω σε λεπτομέρειες, αναφέρομαι σε καθημερινή ελληνική νοοτροπία με την οποία θα έρθεις αντιμέτωπος 8/10 που θα μπεις σε ένα ταξί και ανοίξει το στόμα του ο ταξιτζής. Πολύ ενδεικτικό παράδειγμα νομίζω)."
7/12/2019 13:18:38,"United Kingdom",3,9,9,8,7,8,7,7,6,"Νιώθω αποξενωμένος στο Εξωτερικό.","Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Προτιμώ το νέο μου κοινωνικό περιβάλλον., Η ποιότητα ζωής μου."
7/12/2019 13:20:55,"United Kingdom",2,8,10,9,8,9,10,10,9,,"Οι δυνατότητες επαγγελματικής ανέλιξης που μου προσφέρονται., Η ποιότητα ζωής μου."
